 	0.16094494414695276
о	0.09538158392388438
а	0.07036496895686963
е	0.06684897734295273
и	0.0557795960422989
н	0.054660517702145625
т	0.04765655034374543
с	0.04377946530157323
л	0.04245493725224021
в	0.03863699682331673
р	0.038241661776864805
к	0.030082818022923955
д	0.025505336244911737
м	0.024809608820643984
у	0.024053180345936762
п	0.021551985780392514
я	0.019419666829057342
г	0.017396298481075063
ь	0.01633947762855201
ы	0.015927021773001777
з	0.014944909905634995
б	0.01449043024593436
ч	0.01143825691486263
й	0.009665474954592001
ж	0.008498147061525302
ш	0.00792226530094573
х	0.007159611077475486
ю	0.005439747981690548
ц	0.0033914766386561796
э	0.0025354361837406
щ	0.002356445906803706
ф	0.001881732563623258
ъ	4.4047172498377343E-4
