1грамма	частота
о	0.10541364864658906
е	0.08249979770806673
а	0.08012517254874432
и	0.06961881818324026
н	0.06478063959445887
т	0.060075452833088926
с	0.053041306780845086
л	0.048015657784748776
р	0.04586135041180075
в	0.042579015972615895
к	0.037720808494164114
м	0.03366616006928871
д	0.031811484885809836
у	0.03029649967113679
п	0.02784175895312216
я	0.020624148271466216
ы	0.019472086537619924
г	0.018736625708919718
б	0.018239108089504873
з	0.016350784371371555
ь	0.015873295641627195
ч	0.013851980096085698
й	0.013356064787845566
ж	0.01063053348149188
х	0.010050496836635893
ш	0.008304778812960208
ю	0.006625556702989104
ц	0.004080285403666637
э	0.004025005668176158
щ	0.0036540706314791794
ф	0.0025324528099332387
ъ	2.4515360956643727E-4
